movie_modified,genres,gross,budget,net_profit,title_year,imdb_score,image_url,dominant_colors_array,dominant_color
Muppets Most Wanted,Adventure|Comedy|Crime,80383113,50000000,30383113,2014,6.4,https://m.media-amazon.com/images/M/MV5BMTA2OTc0MzAxMDVeQTJeQWpwZ15BbWU4MDUyOTgxNDIx._V1_.jpg,"[['#9f8661', 0.34206524332061067], ['#352821', 0.2514887608341285], ['#e4e9ec', 0.4064459958452608]]",#e4e9ec
My Name Is Khan,Drama,42345360,12000000,30345360,2010,8,https://m.media-amazon.com/images/M/MV5BMTUyMTA4NDYzMV5BMl5BanBnXkFtZTcwMjk5MzcxMw@@._V1_.jpg,"[['#120805', 0.4577092613739146], ['#d9ac62', 0.20570561233719248], ['#7f441f', 0.3365851262888929]]",#120805
Blow,Biography|Crime|Drama,83282296,53000000,30282296,2001,7.6,https://m.media-amazon.com/images/M/MV5BYjg5ZDkzZWEtZDQ2ZC00Y2ViLThhMzYtMmIxZDYzYTY2Y2Y2XkEyXkFqcGdeQXVyODAwMTU1MTE@._V1_.jpg,"[['#29150e', 0.42389375630920734], ['#97200c', 0.44687127328685616], ['#cdc0b5', 0.1292349704039365]]",#97200c
Pitch Black,Horror|Sci-Fi,53187659,23000000,30187659,2000,7.1,https://m.media-amazon.com/images/M/MV5BNTNmYzE1OWYtZDdjNC00OTdhLTg1YjUtYWJlZTVkMzkzNmVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#5c6160', 0.2444265091863517], ['#bdbfbe', 0.15726837270341207], ['#0f110f', 0.5983051181102362]]",#0f110f
Something Borrowed,Comedy|Drama|Romance,65090821,35000000,30090821,2011,5.9,https://m.media-amazon.com/images/M/MV5BNzczNzMzODk0Nl5BMl5BanBnXkFtZTcwMjgwMjI0NA@@._V1_.jpg,"[['#eef1f2', 0.6628534394192558], ['#634f49', 0.1500522856078396], ['#c09d70', 0.18709427497290462]]",#eef1f2
Oliver!,Drama|Family|Musical,40000000,10000000,30000000,1968,7.5,https://m.media-amazon.com/images/M/MV5BNWQwNTE4NWQtZDg0MC00ZDhkLWIzMzQtNDU1MDIxZTNmM2M3XkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_.jpg,"[['#b36d54', 0.1563107638888889], ['#faf9ef', 0.7453891782407407], ['#3a2e2a', 0.09830005787037037]]",#faf9ef
Hot Tub Time Machine,Comedy|Sci-Fi,65985447,36000000,29985447,2010,6.4,https://m.media-amazon.com/images/M/MV5BMTQwMjExODA4Ml5BMl5BanBnXkFtZTcwNTYwMDYxMw@@._V1_.jpg,"[['#ad8d80', 0.15708678617734934], ['#2d1d17', 0.14356432155138396], ['#fafaf9', 0.6993488922712667]]",#fafaf9
Exit Wounds,Action|Comedy|Crime,79958599,50000000,29958599,2001,5.6,https://m.media-amazon.com/images/M/MV5BMTMxNTQ5MjIwOF5BMl5BanBnXkFtZTYwNDMzODc3._V1_.jpg,"[['#4e6c7c', 0.3827212242182302], ['#0e161b', 0.27988356620093147], ['#9abcd8', 0.3373952095808383]]",#4e6c7c
Night of the Living Dead,Horror,30000000,114000,29886000,1968,7.9,https://m.media-amazon.com/images/M/MV5BMjRjZjE3OGUtYzIyYy00NGRkLTliYTUtYmI1ZjQ3YmZjYTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#1a1818', 0.44929166666666664], ['#eae8e4', 0.404430216802168], ['#65845c', 0.14627811653116532]]",#1a1818
Night of the Living Dead,Horror,30000000,114000,29886000,1968,7.9,https://m.media-amazon.com/images/M/MV5BMjRjZjE3OGUtYzIyYy00NGRkLTliYTUtYmI1ZjQ3YmZjYTZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#1a1818', 0.44929166666666664], ['#eae8e4', 0.404430216802168], ['#65845c', 0.14627811653116532]]",#1a1818
Kevin Hart: Let Me Explain,Comedy|Documentary,32318051,2500000,29818051,2013,6.8,https://m.media-amazon.com/images/M/MV5BMTg4MjM2MjAxOF5BMl5BanBnXkFtZTcwMTAzOTEyOQ@@._V1_.jpg,"[['#050e10', 0.6287316867974981], ['#c3c3a0', 0.14805898465826686], ['#3a5959', 0.22320932854423495]]",#050e10
The Duchess,Biography|Drama|History,43306325,13500000,29806325,2008,6.9,https://m.media-amazon.com/images/M/MV5BMTU1MTQzMjgzNl5BMl5BanBnXkFtZTcwNTQxMzk3MQ@@._V1_.jpg,"[['#a3723c', 0.26310016556291393], ['#e3cdac', 0.31185844370860927], ['#442311', 0.4250413907284768]]",#442311
Out of Sight,Crime|Drama|Romance,77745568,48000000,29745568,1998,7,https://m.media-amazon.com/images/M/MV5BMjA0MjMwNTE4Nl5BMl5BanBnXkFtZTgwNjExNzQxMTE@._V1_.jpg,"[['#d7e3d4', 0.21239176124422027], ['#131817', 0.29116295362197003], ['#ee5c21', 0.4964452851338097]]",#ee5c21
Homefront,Action|Thriller,51695362,22000000,29695362,2013,6.5,https://m.media-amazon.com/images/M/MV5BMTUwOTAzNzAwMl5BMl5BanBnXkFtZTgwOTc1NDIyMDE@._V1_.jpg,"[['#e9e4db', 0.4429892909896603], ['#1b1012', 0.29499224519940914], ['#8b6456', 0.2620184638109306]]",#e9e4db
28 Days Later...,Drama|Horror|Sci-Fi,37654970,8000000,29654970,2002,7.6,https://m.media-amazon.com/images/M/MV5BYTFkM2ViMmQtZmI5NS00MjQ2LWEyN2EtMTI1ZmNlZDU3MTZjXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"[['#d52616', 0.8365976666666667], ['#2f100d', 0.1174545], ['#f4e9e4', 0.045947833333333334]]",#d52616
In the Valley of Elah,Crime|Drama|Mystery,29527293,,29527293,2007,7.2,https://m.media-amazon.com/images/M/MV5BMTg2ODAxOTE2OF5BMl5BanBnXkFtZTcwODYxODE1MQ@@._V1_.jpg,"[['#73423e', 0.22865104244414589], ['#cfa08c', 0.10113947355326666], ['#1d0d0f', 0.6702094840025874]]",#1d0d0f
Resident Evil,Action|Horror|Sci-Fi,62321149,33000000,29321149,2002,6.7,https://m.media-amazon.com/images/M/MV5BZmI1ZGRhNDYtOGVjZC00MmUyLThlNTktMTQyZGE3MzE1ZTdlXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_.jpg,"[['#961c16', 0.3230454545454545], ['#d9bbb2', 0.11653636363636363], ['#250b0f', 0.5604181818181818]]",#250b0f
Lucky Number Slevin,Crime|Drama|Mystery,56308881,27000000,29308881,2006,7.8,https://m.media-amazon.com/images/M/MV5BZjczMWI1YWMtYTZjOS00ZDc5LWE2MWItMTY3ZGUxNzFkNjJmL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"[['#524444', 0.25585780118499013], ['#0a0809', 0.6169842732792041], ['#a6a094', 0.1271579255358057]]",#0a0809
Lucky Number Slevin,Crime|Drama|Mystery,56308881,27000000,29308881,2006,7.8,https://m.media-amazon.com/images/M/MV5BZjczMWI1YWMtYTZjOS00ZDc5LWE2MWItMTY3ZGUxNzFkNjJmL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"[['#524444', 0.25585780118499013], ['#0a0809', 0.6169842732792041], ['#a6a094', 0.1271579255358057]]",#0a0809
Flushed Away,Adventure|Animation|Comedy,178120010,149000000,29120010,2006,6.6,https://m.media-amazon.com/images/M/MV5BMTI1MzE1MDk2N15BMl5BanBnXkFtZTYwMjEwMzI3._V1_.jpg,"[['#817b76', 0.32809476142809474], ['#dde2d7', 0.23160493827160494], ['#323431', 0.4403003003003003]]",#323431
Soul Surfer,Biography|Drama|Family,47088990,18000000,29088990,2011,7.1,https://m.media-amazon.com/images/M/MV5BMTU2MDg0OTYyM15BMl5BanBnXkFtZTcwMjg5MjY0NA@@._V1_.jpg,"[['#b4b5aa', 0.3361622083031838], ['#dfe1d4', 0.5015302070142909], ['#82766f', 0.16230758468252532]]",#dfe1d4
The 5th Wave,Action|Adventure|Drama,67065200,38000000,29065200,2016,5.2,https://m.media-amazon.com/images/M/MV5BMjQwOTc0Mzg3Nl5BMl5BanBnXkFtZTgwOTg3NjI2NzE@._V1_.jpg,"[['#c3bfaf', 0.16426962962962963], ['#1d1f26', 0.5066732510288066], ['#556169', 0.3290571193415638]]",#1d1f26
Snakes on a Plane,Action|Crime|Thriller,62022014,33000000,29022014,2006,5.5,https://m.media-amazon.com/images/M/MV5BZDY3ODM2YTgtYTU5NC00MTE4LTkzNjktMzNhZWZmMzJjMWRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#020101', 0.7817780256553263], ['#606161', 0.1366335750139431], ['#cf994e', 0.08158839933073062]]",#020101
Snakes on a Plane,Action|Crime|Thriller,62022014,33000000,29022014,2006,5.5,https://m.media-amazon.com/images/M/MV5BZDY3ODM2YTgtYTU5NC00MTE4LTkzNjktMzNhZWZmMzJjMWRjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#020101', 0.7817780256553263], ['#606161', 0.1366335750139431], ['#cf994e', 0.08158839933073062]]",#020101
Enemy at the Gates,Drama|History|War,96976270,68000000,28976270,2001,7.6,https://m.media-amazon.com/images/M/MV5BYWFlY2E3ODQtZWNiNi00ZGU4LTkzNWEtZTQ2ZTViMWRhYjIzL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"[['#1f1312', 0.5275952680067002], ['#baa258', 0.14212416247906198], ['#8e461c', 0.33028056951423784]]",#1f1312
The Secret Life of Bees,Drama,39947322,11000000,28947322,2008,7.3,https://m.media-amazon.com/images/M/MV5BOTgzNDIzMTM2OV5BMl5BanBnXkFtZTcwMTQzNTE4MQ@@._V1_.jpg,"[['#da7f1d', 0.27657510288065845], ['#f8cf4f', 0.6272417695473251], ['#511a06', 0.09618312757201646]]",#f8cf4f
Kangaroo Jack,Action|Adventure|Comedy,88929111,60000000,28929111,2003,4.4,https://m.media-amazon.com/images/M/MV5BMTk1Njg5MjAyOV5BMl5BanBnXkFtZTYwNDAxMDg5._V1_.jpg,"[['#f7f1e5', 0.25048888888888887], ['#8b1b1d', 0.472836036036036], ['#e3a53c', 0.27667507507507505]]",#8b1b1d
City of God,Crime|Drama,32059295,3300000,28759295,2002,8.6,https://m.media-amazon.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,"[['#160402', 0.5591815254237288], ['#d2dec7', 0.18179983050847456], ['#c06f2e', 0.2590186440677966]]",#160402
The Ghost Writer,Drama|Mystery|Thriller,73741549,45000000,28741549,2010,7.2,https://m.media-amazon.com/images/M/MV5BMTI3NzMwMzkyNV5BMl5BanBnXkFtZTcwODk4NjQxMw@@._V1_.jpg,"[['#06111d', 0.6796663011034733], ['#a0aaa7', 0.08543897261667872], ['#3d444d', 0.23489472627984806]]",#06111d
Point Break,Action|Crime|Sport,133718711,105000000,28718711,2015,5.3,https://m.media-amazon.com/images/M/MV5BMjIxNDkzOTAyNV5BMl5BanBnXkFtZTgwNjEyOTY3NjE@._V1_.jpg,"[['#c3d0d3', 0.2197459948218162], ['#203e4a', 0.5478342500678365], ['#798f95', 0.23241975511034732]]",#203e4a
Point Break,Action|Crime|Sport,133718711,105000000,28718711,2015,5.3,https://m.media-amazon.com/images/M/MV5BMjIxNDkzOTAyNV5BMl5BanBnXkFtZTgwNjEyOTY3NjE@._V1_.jpg,"[['#c3d0d3', 0.2197459948218162], ['#203e4a', 0.5478342500678365], ['#798f95', 0.23241975511034732]]",#203e4a
My Week with Marilyn,Biography|Drama,35057696,6400000,28657696,2011,7,https://m.media-amazon.com/images/M/MV5BMTYzODYwOTIzOV5BMl5BanBnXkFtZTcwODE2NjAwNw@@._V1_.jpg,"[['#030303', 0.5809952734638758], ['#eae9e8', 0.2955827143821742], ['#908b87', 0.12342201215395003]]",#030303
The Lovely Bones,Drama|Fantasy|Thriller,93621340,65000000,28621340,2009,6.7,https://m.media-amazon.com/images/M/MV5BMjAwNDA1MTM2MF5BMl5BanBnXkFtZTcwMzg3NDcwMw@@._V1_.jpg,"[['#160f19', 0.42384918401800786], ['#d5bba9', 0.27469752391671354], ['#725c65', 0.30145329206527854]]",#160f19
The Lovely Bones,Drama|Fantasy|Thriller,93621340,65000000,28621340,2009,6.7,https://m.media-amazon.com/images/M/MV5BMjAwNDA1MTM2MF5BMl5BanBnXkFtZTcwMzg3NDcwMw@@._V1_.jpg,"[['#160f19', 0.42384918401800786], ['#d5bba9', 0.27469752391671354], ['#725c65', 0.30145329206527854]]",#160f19
The Sea Inside,Biography|Drama,38535221,10000000,28535221,2004,8,https://m.media-amazon.com/images/M/MV5BMjE0NDk2NjgwMV5BMl5BanBnXkFtZTYwMTgyMzA3._V1_.jpg,"[['#c2d1d2', 0.3959882836056629], ['#0d1a2d', 0.37665048961893], ['#39808e', 0.22736122677540707]]",#c2d1d2
Cloud Atlas,Action|Drama|Mystery,130482868,102000000,28482868,2012,7.4,https://m.media-amazon.com/images/M/MV5BMTczMTgxMjc4NF5BMl5BanBnXkFtZTcwNjM5MTA2OA@@._V1_.jpg,"[['#090a09', 0.6307830589725036], ['#dfd6c5', 0.18751024613332126], ['#6d6e5f', 0.1817066948941751]]",#090a09
The Usual Suspects,Crime|Mystery|Thriller,34449356,6000000,28449356,1995,8.6,https://m.media-amazon.com/images/M/MV5BYTViNjMyNmUtNDFkNC00ZDRlLThmMDUtZDU2YWE4NGI2ZjVmXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_.jpg,"[['#e8e4e2', 0.2812042083914311], ['#101010', 0.47862390670553934], ['#97866e', 0.24017188490302954]]",#101010
Little White Lies,Comedy|Drama,53315368,25000000,28315368,2010,7.1,https://m.media-amazon.com/images/M/MV5BYjIzMzVmN2YtM2VlOS00NTY3LWIwNDktODg4MzQ2MWRlOWJmXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_.jpg,"[['#d7d6d6', 0.2787593571165346], ['#2b2120', 0.3633382400391294], ['#d39f35', 0.357902402844336]]",#2b2120
Quest for Fire,Adventure|Drama|History,40602910,12500000,28102910,1981,7.4,https://m.media-amazon.com/images/M/MV5BNzIwMGQwMTAtNzg1OC00ZjViLWI1ZTAtNjliODJlNjUzMzhhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#050202', 0.7669370816599732], ['#772237', 0.1890896921017403], ['#e8d8c0', 0.04397322623828648]]",#050202
The Banger Sisters,Comedy|Drama,38068353,10000000,28068353,2002,5.6,https://m.media-amazon.com/images/M/MV5BZjA1OTQxNGEtNTRjNi00MWIwLWEyZGYtNGRjOGEwNzE5OWU2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#893b1e', 0.16636316872427984], ['#f8e9df', 0.49975720164609055], ['#dca072', 0.33387962962962964]]",#f8e9df
Spy Game,Action|Crime|Thriller,143049560,115000000,28049560,2001,7.1,https://m.media-amazon.com/images/M/MV5BNjNhOGZkNzktMGU3NC00ODk2LWE4NjctZTliN2JjZTQxZmIxXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,"[['#734c40', 0.28615386078072647], ['#14130f', 0.31510207629610615], ['#c9c2aa', 0.3987440629231674]]",#c9c2aa
Kate & Leopold,Comedy|Fantasy|Romance,76019048,48000000,28019048,2001,6.4,https://m.media-amazon.com/images/M/MV5BNmNlN2VlOTctYTdhMS00NzUxLTg0ZGMtYWE2ZTJmMThlMTk2XkEyXkFqcGdeQXVyMzI0NDc4ODY@._V1_.jpg,"[['#251714', 0.4158926431823628], ['#ecce9f', 0.28218068535825547], ['#ab683b', 0.30192667145938173]]",#251714
Space Chimps,Adventure|Animation|Comedy,64762724,37000000,27762724,2008,4.5,https://m.media-amazon.com/images/M/MV5BNDU0MDY1OTQzOV5BMl5BanBnXkFtZTcwNzQ3ODI3MQ@@._V1_.jpg,"[['#19192d', 0.3916526821976534], ['#ccc7c8', 0.22719462150270758], ['#3a5d89', 0.381152696299639]]",#19192d
Night Watch,Action|Fantasy|Horror,31933365,4200000,27733365,2004,6.5,https://m.media-amazon.com/images/M/MV5BMjE0Nzk0NDkyOV5BMl5BanBnXkFtZTcwMjkzOTkyMQ@@._V1_.jpg,"[['#14140d', 0.575535236008209], ['#d1d4be', 0.23823980834115968], ['#777553', 0.18622495565063132]]",#14140d
The Odd Life of Timothy Green,Comedy|Drama|Family,52685425,25000000,27685425,2012,6.6,https://m.media-amazon.com/images/M/MV5BMTQzODg3MzUyOV5BMl5BanBnXkFtZTcwNzI1MzUyNg@@._V1_.jpg,"[['#fefdfc', 0.6247166414164255], ['#706b2f', 0.18410252351664255], ['#c7945d', 0.19118083506693198]]",#fefdfc
Dragonball Evolution,Action|Adventure|Fantasy,57497699,30000000,27497699,2009,2.6,https://m.media-amazon.com/images/M/MV5BMTYzNDM0ODQxMF5BMl5BanBnXkFtZTcwOTMyMzMzMg@@._V1_.jpg,"[['#deb584', 0.0883248322147651], ['#2f1c1a', 0.6993691275167785], ['#7f4932', 0.21230604026845637]]",#2f1c1a
Cats & Dogs: The Revenge of Kitty Galore,Action|Comedy|Family,112483764,85000000,27483764,2010,4.3,https://m.media-amazon.com/images/M/MV5BMTYwNTk2NTc3OV5BMl5BanBnXkFtZTcwMDUwMzgyMw@@._V1_.jpg,"[['#141d37', 0.352791050295858], ['#1b71b1', 0.40510613905325443], ['#b6bdbc', 0.24210281065088757]]",#1b71b1
Don Jon,Comedy|Drama|Romance,30450756,3000000,27450756,2013,6.6,"https://m.media-amazon.com/images/M/MV5BMTQxNTc3NDM2MF5BMl5BanBnXkFtZTcwNzQ5NTQ3OQ@@._V1._CR28,28.649993896484375,1271,1991.0000305175781_UX182_CR0,0,182,268_AL_.jpg_V1_.jpg","[['#e5dbce', 0.4075979990159095], ['#5c1915', 0.27864113498441856], ['#b9815f', 0.31376086599967196]]",#e5dbce
"Lock, Stock and Two Smoking Barrels",Comedy|Crime,28356188,960000,27396188,1998,8.2,https://m.media-amazon.com/images/M/MV5BMTAyN2JmZmEtNjAyMy00NzYwLThmY2MtYWQ3OGNhNjExMmM4XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_.jpg,"[['#f8f8f8', 0.5202716145833334], ['#0b0d0c', 0.4089731770833333], ['#979170', 0.07075520833333333]]",#f8f8f8
Arthur and the Invisibles,Adventure|Animation|Family,113325743,86000000,27325743,2006,6,https://m.media-amazon.com/images/M/MV5BNDQ2ODQ1NTM5OF5BMl5BanBnXkFtZTcwNjQzNTA0MQ@@._V1_.jpg,"[['#2b2312', 0.5451044776119403], ['#d09b5a', 0.23334991708126038], ['#549ac8', 0.22154560530679934]]",#2b2312
Did You Hear About the Morgans?,Comedy|Drama|Romance,85280250,58000000,27280250,2009,4.8,https://m.media-amazon.com/images/M/MV5BMjUzMDY0NDYzN15BMl5BanBnXkFtZTcwNjgxMDI5Mg@@._V1_.jpg,"[['#f1e2cc', 0.3407117794486216], ['#3b2014', 0.3043408521303258], ['#aa7d59', 0.3549473684210526]]",#aa7d59
American Psycho,Crime|Drama,34266564,7000000,27266564,2000,7.6,https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"[['#050506', 0.6004071146245059], ['#523339', 0.3176778656126482], ['#c0978a', 0.08191501976284585]]",#050506
Texas Chainsaw 3D,Horror|Thriller,47241945,20000000,27241945,2013,4.8,https://m.media-amazon.com/images/M/MV5BMTQzMzAyNTE2N15BMl5BanBnXkFtZTcwNzM1NDg2OA@@._V1_.jpg,"[['#0d0b09', 0.7451701847413169], ['#c2bdb3', 0.06306035749819103], ['#494038', 0.19176945776049203]]",#0d0b09
Dancer in the Dark,Crime|Drama|Musical,40031879,12800000,27231879,2000,8,https://m.media-amazon.com/images/M/MV5BNDVkYWMxNWEtNjc2MC00OGI5LWI3NmUtYWUwNDQyOTc3YmY5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#eee8e5', 0.5677547802886365], ['#351d21', 0.18871730605974857], ['#b88671', 0.243527913651615]]",#eee8e5
Maximum Risk,Action|Crime|Mystery,51702483,25000000,26702483,1996,5.5,https://m.media-amazon.com/images/M/MV5BMzY5ZWQ0OTMtZjdiYy00YzhmLTg5MDAtMzRlMTllMDliMDJkXkEyXkFqcGdeQXVyNDc2NjEyMw@@._V1_.jpg,"[['#e8ebf4', 0.3225376768673906], ['#171826', 0.4220480421191181], ['#716591', 0.2554142810134913]]",#171826
Beastly,Drama|Fantasy|Romance,43165571,17000000,26165571,2011,5.6,https://m.media-amazon.com/images/M/MV5BMzUzMTcxMTEzNV5BMl5BanBnXkFtZTcwMTcwNjcxNA@@._V1_.jpg,"[['#14130f', 0.5590568106309032], ['#d2b9a4', 0.27254105400155665], ['#876c5c', 0.16840213536754017]]",#14130f
The World's End,Action|Comedy|Sci-Fi,46089287,20000000,26089287,2013,7,https://m.media-amazon.com/images/M/MV5BNzA1MTk1MzY0OV5BMl5BanBnXkFtZTgwNjkzNTUwMDE@._V1_.jpg,"[['#ccae91', 0.1308788073218162], ['#161110', 0.6057111240502895], ['#544f59', 0.26341006862789434]]",#161110
Shaun of the Dead,Comedy|Horror,30039392,4000000,26039392,2004,7.9,https://m.media-amazon.com/images/M/MV5BMTg5Mjk2NDMtZTk0Ny00YTQ0LWIzYWEtMWI5MGQ0Mjg1OTNkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_.jpg,"[['#0f0706', 0.6102841965471447], ['#e1dbd3', 0.17420849933598936], ['#7a3e33', 0.21550730411686586]]",#0f0706
Anaconda,Action|Adventure|Horror,71000000,45000000,26000000,1997,4.7,https://m.media-amazon.com/images/M/MV5BMTMzMTU5NjcxNl5BMl5BanBnXkFtZTcwMzE2NDU2MQ@@._V1_.jpg,"[['#111113', 0.8403173652694611], ['#406522', 0.13127544910179642], ['#947054', 0.028407185628742514]]",#111113
Hostage,Action|Crime|Drama,77944725,52000000,25944725,2005,6.6,https://m.media-amazon.com/images/M/MV5BNmE3NTEzODUtMTJjMC00ODk3LTk4MzMtNmY5Mjg4M2M4OThhXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_.jpg,"[['#19120f', 0.6554529407790277], ['#f0e7e2', 0.16022157190635453], ['#8e534b', 0.18432548731461776]]",#19120f
Sweet November,Drama|Romance,65754228,40000000,25754228,2001,6.7,https://m.media-amazon.com/images/M/MV5BMTc4NjYzNzkzNl5BMl5BanBnXkFtZTYwNjg1ODc5._V1_.jpg,"[['#f8f0e4', 0.5757864832535885], ['#2a1f18', 0.1986273923444976], ['#cc9a71', 0.22558612440191386]]",#f8f0e4
Autumn in New York,Drama|Romance,90726668,65000000,25726668,2000,5.6,https://m.media-amazon.com/images/M/MV5BMWFlM2VmYTUtZmFmMC00N2Y1LWE3NmUtYWI5MWZiMTY3NDRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#3d2226', 0.35668325284630803], ['#f7f5f5', 0.3665336685297982], ['#d06f58', 0.27678307862389373]]",#f7f5f5
The Debt,Drama|Thriller,45636368,20000000,25636368,2010,6.9,https://m.media-amazon.com/images/M/MV5BMjY0Mzk5MjIwNl5BMl5BanBnXkFtZTcwNzg5MDYyNQ@@._V1_.jpg,"[['#e1dfd9', 0.2739473334614689], ['#391c22', 0.5075164220785094], ['#9e796c', 0.2185362444600217]]",#391c22
Hostel: Part II,Horror,35633963,10000000,25633963,2007,5.5,https://m.media-amazon.com/images/M/MV5BMjA1NTQ3MjI2N15BMl5BanBnXkFtZTYwNTQ4MTI3._V1_.jpg,"[['#a6aeb2', 0.5005110102538242], ['#0f1010', 0.2362682803832577], ['#595f60', 0.26322070936291814]]",#a6aeb2
The Best Man,Comedy|Drama|Romance,34573780,9000000,25573780,1999,6.8,https://m.media-amazon.com/images/M/MV5BNDkwZjcyM2EtMzMyMS00MzNiLWFjNWUtYjM2YmM4ZTc3OGJjXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_.jpg,"[['#251a1f', 0.43536535303776686], ['#e6e1db', 0.2835991379310345], ['#b6815e', 0.28103550903119867]]",#251a1f
The Grandmaster,Action|Biography|Drama,64076736,38600000,25476736,2013,6.6,https://m.media-amazon.com/images/M/MV5BZTRiM2VmZTctY2Y0Ni00ZWJmLTg3MGUtMDA3ZmVkYWFkNzJhXkEyXkFqcGdeQXVyMjQ2MTk1OTE@._V1_.jpg,"[['#040404', 0.7583036469344608], ['#e3e4e4', 0.1559624735729387], ['#787878', 0.08573387949260042]]",#040404
Secretariat,Biography|Drama|Family,60251371,35000000,25251371,2010,7.2,https://m.media-amazon.com/images/M/MV5BMTgwNDkyMDU3NV5BMl5BanBnXkFtZTcwNjMyNjI4Mw@@._V1_.jpg,"[['#161013', 0.5613834156709558], ['#40404b', 0.3539870318244485], ['#d6b785', 0.08462955250459558]]",#161013
The Original Kings of Comedy,Comedy|Documentary,38251106,13000000,25251106,2000,6.7,https://m.media-amazon.com/images/M/MV5BMTI5NDY1NDU1M15BMl5BanBnXkFtZTcwODcyNTMyMQ@@._V1_.jpg,"[['#94756b', 0.19436935534101527], ['#070405', 0.6000622858922454], ['#e9e1d7', 0.20556835876673935]]",#070405
Raising Cain,Crime|Drama|Horror,37170057,12000000,25170057,1992,6,https://m.media-amazon.com/images/M/MV5BMTBmZGVmMDctYTMwMy00MmU0LWEzZjYtOWM5ZGRlOGVhNTQzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#221c1f', 0.8450510608659414], ['#eae2e0', 0.058828523083987554], ['#7a4d4c', 0.0961204160500711]]",#221c1f
Biutiful,Drama|Romance,25147786,,25147786,2010,7.5,https://m.media-amazon.com/images/M/MV5BMzI4OTQ0MDQyNl5BMl5BanBnXkFtZTcwODY5MjQwNA@@._V1_.jpg,"[['#3389a5', 0.14645292997015194], ['#231911', 0.8034781029531476], ['#f5f7f0', 0.05006896707670044]]",#231911
The Butterfly Effect,Drama|Sci-Fi|Thriller,38122165,13000000,25122165,2004,7.7,https://m.media-amazon.com/images/M/MV5BODNiZmY2MWUtMjFhMy00ZmM2LTg2MjYtNWY1OTY5NGU2MjdjL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_.jpg,"[['#c3e3ed', 0.32211164895724925], ['#061518', 0.38288044384034486], ['#1694a2', 0.2950079072024059]]",#061518
The Cat in the Hat,Adventure|Comedy|Family,133960541,109000000,24960541,2003,3.9,https://m.media-amazon.com/images/M/MV5BMTI5MDU3MTYyMF5BMl5BanBnXkFtZTYwODgyODc3._V1_.jpg,"[['#255a99', 0.30206615717706436], ['#540d0f', 0.48380769396211804], ['#c4c8d3', 0.21412614886081757]]",#540d0f
The Stewardesses,Comedy|Drama,25000000,100000,24900000,1969,3.9,https://m.media-amazon.com/images/M/MV5BMzIzMjAyMWYtOGMxMi00Zjk0LThhMGUtNDk4MDNjMDljZjRkXkEyXkFqcGdeQXVyNzQxMDYxNzA@._V1_.jpg,"[['#f8f8f8', 0.7938199738055984], ['#cb2c2e', 0.0722740732868804], ['#282324', 0.13390595290752114]]",#f8f8f8
Jarhead,Biography|Drama|War,96889998,72000000,24889998,2005,7,https://m.media-amazon.com/images/M/MV5BYmMyNGM4NWItYjgwYS00N2Q2LWJmY2YtY2ViNWYwMzRhODlmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_.jpg,"[['#010000', 0.8697957307060755], ['#e0d2c0', 0.05593103448275862], ['#72605a', 0.07427323481116585]]",#010000
